userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
31,0,0,3,435,208,0.1,1,1,9
29,0,4,1,347,256,0.0,0,0,0
29,0,4,1,347,256,0.2,1,1,8
29,0,4,1,347,256,0.2,1,1,3
1,0,1,2,341,214,0.2,1,1,9
50,0,1,3,435,337,0.8,1,1,1
50,0,1,3,435,337,0.4,1,1,8
50,0,0,1,347,429,0.0,0,0,0
50,0,0,1,347,429,0.0,0,0,0
50,0,0,1,347,429,0.0,0,0,0
50,0,0,1,347,429,0.1,1,1,2
50,0,0,1,347,429,0.1,0,0,0
50,0,0,1,347,429,0.0,0,0,0
50,0,0,1,347,429,0.0,1,1,9
50,0,0,1,347,429,0.2,1,1,4
14,0,4,1,347,140,0.0,0,0,0
14,0,4,1,347,140,0.0,1,1,3
14,0,4,1,347,140,0.0,0,0,0
36,0,4,4,408,252,0.1,1,1,11
0,0,0,2,341,568,0.2,1,1,2
0,0,0,2,341,568,0.1,1,1,4
0,0,0,2,341,568,0.2,1,1,1
0,0,0,2,341,568,0.2,1,1,1
0,0,0,2,341,568,0.0,0,0,0
19,0,1,3,435,162,0.1,1,1,5
2,0,4,3,435,218,0.5,1,1,7
41,0,1,1,347,628,0.5,1,1,2
41,0,1,1,347,628,0.2,0,0,0
41,0,1,1,347,628,0.3,1,1,2
41,0,1,1,347,628,0.2,1,1,4
41,0,1,1,347,628,0.4,1,1,2
41,0,1,1,347,628,0.6,1,1,6
41,0,1,1,347,628,0.2,1,1,4
41,0,1,1,347,628,0.1,1,1,1
4,0,1,2,341,122,0.1,1,1,1
4,0,1,2,341,122,0.2,1,1,4
38,0,0,1,347,414,0.0,0,0,0
38,0,0,1,347,414,0.3,1,1,13
22,0,0,1,347,366,0.2,1,1,6
22,0,0,1,347,366,0.0,0,0,0
22,0,0,1,347,366,0.0,1,1,1
26,0,0,4,408,167,0.0,1,1,6
26,0,0,4,408,167,0.0,0,0,0
4,0,4,4,408,219,0.0,1,1,1
4,0,4,4,408,219,0.9,1,1,10
42,0,1,1,347,366,0.1,1,1,4
