user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
7,0.00,1,2,341,8.00,15.00,1.88,13.00,1.62,10.38,4.00,3.12,1.67,46.38,18.25,22.00,124.00,1.00,3.00,2.00,11.00,1,52.33,544.99,232.36,3.21,3.21,109.24,26.95,6.54,17.87,36.33,1.47,0.80,0.80,7.28,1.80,0.50,0.27,0.09,0.09
7,0.00,4,1,347,1.00,3.00,3.00,8.00,8.00,26.00,5.00,26.00,8.67,102.00,30.00,3.00,27.00,0.00,5.00,0.00,8.00,0,11.55,74.77,46.18,13.81,8.12,11.73,11.73,11.55,5.77,24.92,0.73,2.76,1.62,3.91,3.91,0.00,0.62,0.00,0.30
7,0.00,2,4,408,1.00,4.00,4.00,6.00,6.00,31.00,4.00,31.00,7.75,84.00,33.00,7.00,26.00,0.00,4.00,0.00,6.00,0,6.32,58.11,41.03,8.06,8.06,14.05,14.05,6.32,6.84,14.53,0.69,2.02,2.02,3.51,3.51,0.00,0.67,0.00,0.23
6,0.00,2,0,367,10.00,13.00,1.30,4.00,0.40,0.80,3.00,0.70,0.54,11.00,10.60,24.00,72.00,2.00,1.00,2.00,2.00,0,97.22,191.76,66.13,31.62,4.97,45.04,29.98,9.72,16.53,14.75,1.74,10.54,1.66,3.46,2.31,1.00,0.50,0.08,0.03
6,0.00,2,3,435,3.00,10.00,3.33,11.00,3.67,14.67,6.00,10.00,3.00,37.00,28.67,20.00,66.00,3.00,3.00,4.00,7.00,0,56.28,237.23,195.56,15.37,7.30,35.85,19.44,18.76,17.78,23.72,2.14,2.56,1.22,3.58,1.94,0.75,0.43,0.20,0.11
6,0.00,1,2,341,5.00,6.00,1.20,7.00,1.40,3.80,6.00,3.80,3.17,12.60,9.80,15.00,34.00,5.00,1.00,6.00,1.00,1,43.43,174.28,124.61,40.05,7.51,40.57,9.29,8.69,17.80,29.05,2.77,6.68,1.25,6.76,1.55,0.83,1.00,0.40,0.03
6,0.00,3,1,347,7.00,10.00,1.43,10.00,1.43,5.71,4.00,4.57,3.20,10.86,7.57,7.00,46.00,2.00,2.00,2.00,8.00,5,95.89,192.02,133.47,8.28,8.28,57.70,29.44,13.70,13.35,19.20,2.53,2.07,2.07,5.77,2.94,1.00,0.25,0.29,0.17
6,0.00,4,4,408,1.00,4.00,4.00,8.00,8.00,34.00,5.00,34.00,8.50,82.00,36.00,5.00,31.00,0.00,5.00,1.00,7.00,0,12.79,406.84,111.79,13.01,13.01,11.77,11.77,12.79,13.97,101.71,4.96,2.60,2.60,2.94,2.94,0.00,0.71,0.20,0.23
9,0.00,3,1,347,2.00,14.00,7.00,9.00,4.50,56.50,5.00,40.00,5.71,94.50,63.50,13.00,114.00,1.00,4.00,1.00,8.00,1,33.62,195.04,113.30,13.25,6.82,32.69,32.69,16.81,12.59,13.93,1.03,2.65,1.36,2.33,2.33,1.00,0.50,0.08,0.07
9,0.00,4,3,435,5.00,16.00,3.20,9.00,1.80,12.20,5.00,6.00,1.88,42.00,27.60,23.00,115.00,2.00,3.00,3.00,6.00,0,24.63,192.38,93.04,7.96,7.96,26.26,26.26,4.93,10.34,12.02,0.92,1.59,1.59,1.64,1.64,0.67,0.50,0.13,0.05
